"mLKL_Phe_Gen";"mLKL_Phe_Gen_Index";"mLKL_GRL"
"157";-18.2605959385315;-17.5593291980512;-0.7012667404803
"159";-25.1464956525097;-20.6660696498923;-4.48042600261742
"193";-18.65771595402;-18.1236883558442;-0.534027598175843
"194";-41.8121719993884;-40.2668770625369;-1.54529493685146
"201";-13.8101500718823;-13.1186186061069;-0.6915314657754
"124";-19.8758827337493;-17.9424927226847;-1.93339001106461
"125";-19.8251106102907;-18.9860385204987;-0.839072089792012
"126";-27.422170040175;-25.3422608304991;-2.0799092096759
"127";-14.8002299514906;-14.0888966544048;-0.711333297085741
"377";-17.1864258776017;-15.6185086113399;-1.56791726626174
"412";-28.4253632320703;-26.3359999364587;-2.08936329561154
"413";-34.5003754340005;-28.3125703980463;-6.18780503595418
"346";-62.3556785397955;-50.867717786167;-11.4879607536286
"498";-12.4290672380235;-11.0420284266503;-1.38703881137324
"506";-19.6148823523205;-18.1105301610745;-1.50435219124598
"46";-45.2541109767611;-41.3657390430529;-3.88837193370813
"48";-24.2287181982674;-20.7695235061847;-3.45919469208273
"51";-24.4943128497823;-20.0113212366215;-4.48299161316086
"54";-32.2600376368153;-31.5712347721802;-0.688802864635022
"56";-23.2294237365671;-20.3247251912601;-2.90469854530705
"58";-48.7242290023965;-45.3922040668602;-3.3320249355363
"62";-11.2516872812242;-10.5578228863026;-0.693864394921601
"64";-12.8544928864466;-10.7859308135973;-2.06856207284925
"65";-21.697988391333;-19.3361748456638;-2.36181354566927
"68";-18.2358843011324;-17.5366391638595;-0.699245137272936
"71";-46.7801954348442;-45.658970328953;-1.12122510589115
"74";-26.2903376628919;-24.9289632433756;-1.36137441951636
"76";-11.2891308554;-9.8947701428373;-1.39436071256272
"77";-23.8890842708005;-16.5287798099789;-7.36030446082161
"78";-20.8223143633111;-20.2815220109062;-0.54079235240491
"79";-13.1569984620676;-11.6329882237448;-1.52401023832275
"80";-34.1174394712791;-32.6884811480746;-1.42895832320455
"81";-17.9763185852279;-17.286476477412;-0.689842107815842
"82";-11.4139183164625;-11.3872502672427;-0.0266680492198432
"30";-15.2129276010866;-12.938359601844;-2.27456799924255
"38";-29.755786174174;-28.3693057889446;-1.38648038522941
"39";-15.7977661857725;-14.9903499721465;-0.80741621362599
"41";-17.1887131518092;-15.6424547904093;-1.54625836139994
"43";-37.0986378239054;-36.590715508774;-0.507922315131403
"433";-16.4787340650873;-11.5708377340179;-4.90789633106942
"163";-31.4081054496912;-28.7025331610132;-2.70557228867798
"202";-25.4942267859037;-20.5046753519594;-4.98955143394432
"203";-54.0412839427897;-47.6550590647918;-6.38622487799788
"204";-17.7203208071017;-15.6251645697293;-2.09515623737233
"205";-30.7761115215398;-26.7667310092589;-4.00938051228096
"210";-26.3292887461386;-26.203372614045;-0.125916132093625
"292";-11.8442010797828;-11.1982043642566;-0.64599671552622
"293";-16.2869864065123;-15.4645492785628;-0.822437127949458
"306";-18.8551143590502;-17.2897570861515;-1.56535727289871
"416";-15.3194731859334;-14.0429666934452;-1.27650649248818
"92";-36.894371536432;-34.8420440613776;-2.05232747505448
"93";-52.001259282999;-48.8539107723074;-3.14734851069166
"95";-18.1470798895761;-16.3648081237439;-1.78227176583222
"314";-21.1901740934819;-21.0577836157141;-0.132390477767785
"315";-16.8371727477923;-15.2143072804028;-1.62286546738951
"316";-23.6532445242279;-21.3509382912952;-2.30230623293268
"317";-46.5356080909595;-44.5509168086781;-1.98469128228133
"196";-21.4876349596587;-20.7940472488522;-0.69358771080654
"197";-16.3016531183875;-11.4395954382528;-4.86205768013477
"198";-21.4492798024673;-20.0078964054522;-1.44138339701509
"199";-12.317318889019;-10.9295633915152;-1.38775549750376
"488";-31.7067072496188;-28.5056049201901;-3.2011023294287
"343";-33.8729027775574;-32.7288829645735;-1.14401981298397
"509";-18.3096676437983;-16.9175222627383;-1.39214538105999
"510";-22.8369329533099;-22.1436938567069;-0.693239096602994
"296";-21.0609901727131;-19.5181776090241;-1.542812563689
"308";-18.6327709232109;-17.8069105618014;-0.825860361409511
"310";-17.0589784621884;-16.3578370824455;-0.701141379742879
"312";-32.8181380893529;-31.2701790909901;-1.54795899836276
"439";-23.7310354862157;-23.1736599350754;-0.557375551140311
"519";-11.4986296992445;-10.1115643611099;-1.38706533813463
"534";-23.9226507718911;-22.5459548399159;-1.37669593197515
"89";-43.4715526020885;-41.3914371139593;-2.08011548812917
"287";-18.0585931945185;-14.4641823681221;-3.59441082639642
"288";-22.272383765481;-21.3335278841195;-0.938855881361512
"289";-69.8022150002883;-59.6854556854026;-10.1167593148856
"361";-25.2615991368517;-25.0897532110911;-0.171845925760575
"362";-21.5415147304283;-18.0714754940264;-3.47003923640186
"363";-22.3472375682001;-18.5687412877437;-3.77849628045639
"366";-28.1224484609776;-23.4075351428075;-4.71491331817012
"367";-24.5459503107337;-23.4683325822499;-1.0776177284838
"368";-23.9166224841902;-19.3980102858765;-4.51861219831369
"369";-16.9613604838309;-16.2770616191502;-0.684298864680635
"370";-23.8399012599153;-19.4096135039257;-4.43028775598964
"443";-21.8086980307809;-19.7013402385449;-2.10735779223597
"1";-19.6857306030877;-16.7902044031948;-2.8955261998929
"3";-22.0249645411519;-21.2844536411578;-0.740510899994078
"5";-22.0980217826285;-20.5026367304378;-1.59538505219068
"6";-55.0152245975632;-51.2966252776046;-3.71859931995856
"7";-56.3103935524103;-49.0996939523406;-7.21069960006971
"100";-20.539411051588;-19.0150536491147;-1.52435740247328
"103";-23.7042708497559;-19.703996202473;-4.00027464728289
"160";-42.8501744300909;-35.7974404292665;-7.05273400082443
"168";-39.1594036803975;-33.9820857302511;-5.17731795014642
"170";-36.4483611770186;-32.7028981007363;-3.74546307628226
"171";-45.5683558531172;-39.1746071874421;-6.39374866567517
"172";-55.8527542550394;-50.4118431101723;-5.44091114486718
"173";-33.31762832695;-32.6052799784116;-0.712348348538384
"174";-27.9974269664627;-27.0597876659281;-0.937639300534613
"175";-23.0215230766887;-22.2662019911707;-0.75532108551802
"176";-36.6966054830384;-36.0203705609986;-0.676234922039775
"177";-24.7626692340407;-19.7260895048622;-5.03657972917851
"178";-20.4553193931896;-20.2131201620004;-0.242199231189232
"180";-20.7293989036651;-20.0458929491419;-0.683505954523255
"182";-31.3766024163295;-29.1773474120577;-2.19925500427183
"187";-15.9884394326596;-13.2619567542299;-2.7264826784297
"326";-33.2114921558267;-29.1614972796443;-4.04999487618235
"330";-22.3819905081446;-22.2497229193461;-0.132267588798541
"331";-55.2220357893512;-47.2172613411762;-8.00477444817503
"332";-24.2702098923801;-20.0840821361785;-4.18612775620154
"374";-17.4242709428478;-16.0427094470489;-1.38156149579896
"451";-11.8987987005429;-10.512178256284;-1.38662044425891
"454";-51.755117083907;-48.2750512210003;-3.48006586290671
"455";-86.8415319832531;-75.4092641606203;-11.4322678226328
"96";-16.9566574596108;-12.8875187275752;-4.06913873203563
"98";-21.5021421578874;-20.6915965354541;-0.810545622433256
"99";-12.3340033715242;-10.2548696409719;-2.07913373055229
"131";-13.4005219337043;-12.7191600198948;-0.681361913809567
"142";-21.0511241469384;-16.1924771581674;-4.85864698877097
"145";-14.5303752318651;-11.0539745477747;-3.47640068409048
"147";-16.050656957999;-10.4547847317256;-5.59587222627339
"148";-26.5096338136664;-23.0085961707213;-3.50103764294505
"149";-35.6934989961823;-29.2464234969591;-6.44707549922327
"150";-18.8045376689579;-17.4357746002257;-1.36876306873219
"151";-16.506301440243;-15.1668139825427;-1.33948745770029
"152";-22.4084116874213;-20.3283478902761;-2.08006379714515
"153";-15.6111895505507;-14.9182589508932;-0.692930599657554
"154";-22.6104335817187;-17.1209249514714;-5.48950863024735
"155";-14.0805481044419;-11.3143984358894;-2.7661496685525
"156";-68.6275622840042;-55.1277851815993;-13.4997771024049
"493";-26.628091720367;-25.9347159266032;-0.69337579376381
"495";-26.4840809607488;-25.096762455432;-1.38731850531681
"496";-38.6597346064493;-37.8953648339115;-0.764369772537826
"446";-19.0024330497868;-15.2891548903011;-3.71327815948577
"447";-13.5492178047748;-13.1455454181903;-0.403672386584486
"449";-13.9978368592808;-13.306305445704;-0.691531413576802
"450";-12.8031928547139;-12.1379700952379;-0.665222759475995
"105";-34.0310856167247;-29.2681322128099;-4.76295340391481
"112";-19.4138084553029;-18.0603621422758;-1.35344631302708
"113";-18.2489975404377;-16.1446938473336;-2.10430369310418
"118";-17.9059297045976;-16.1440086866799;-1.76192101791768
"119";-23.0076787781159;-20.889330225631;-2.11834855248487
"120";-17.0079034584675;-16.7900401989822;-0.217863259485348
"121";-23.8234560274346;-20.9820078702196;-2.84144815721501
"122";-35.3249715350001;-30.5902573095358;-4.73471422546426
"123";-38.3708318078156;-37.3403526835648;-1.0304791242508
"351";-18.9525110151333;-18.2727058306085;-0.679805184524835
"353";-19.0655017553745;-18.860240972708;-0.20526078266645
"358";-21.4726728635697;-19.9788339970496;-1.49383886652015
"359";-23.4274024807894;-19.1235021743308;-4.30390030645859
"378";-42.3992101472755;-39.7978820386245;-2.601328108651
